California County,census_tract,hispanic,white,african_american,native_american,asian_american,other,unemployment,poverty,ces_pollution_score,ozone,pesticides,tox_release,asthma,cardiovascular_disease,low_birth_weight
San Bernardino,6071002204.0,78.5,11.6,4.9,0.2,4.1,0.7,18.7,56.0,65.53,0.065,0.0,5527.415108,74.22,13.01,4.6
Los Angeles,6037239502.0,76.3,0.2,22.3,0.2,0.1,0.8,18.9,67.1,65.46,0.046,0.0,5111.57156,68.91,10.35,6.83
Fresno ,6019003805.0,56.2,18.9,10.2,1.0,11.0,2.7,18.1,77.3,65.41,0.062,5.98,2656.837802,88.39,10.71,6.12
Los Angeles,6037553601.0,75.0,4.6,15.8,0.1,3.2,1.2,12.0,47.9,65.37,0.044000000000000004,0.0,8306.36672,50.32,9.7,7.26
Los Angeles,6037402804.0,79.2,4.5,3.5,0.2,11.6,1.1,9.1,68.5,65.36,0.057,0.0,7345.338449,70.31,10.29,6.14
Fresno ,6019001800.0,60.6,32.0,1.1,0.7,4.3,1.2,11.7,42.9,65.35,0.065,2239.24,3024.5838289999997,110.07,12.15,6.38
San Bernardino,6071001813.0,91.6,3.3,3.0,0.0,1.2,0.9,14.3,68.1,65.35,0.062,3.33,6159.352785,42.99,11.71,5.43
Los Angeles,6037534301.0,95.0,2.7,1.0,0.1,0.6,0.6,15.8,61.1,65.29,0.046,0.05,8092.279194,48.15,10.08,5.8
Los Angeles,6037206200.0,19.5,12.2,25.9,0.4,39.7,2.2,15.4,72.2,65.26,0.046,0.0,6342.833218,67.73,4.18,8.86
Los Angeles,6037432801.0,59.3,3.3,0.1,0.4,36.8,0.2,10.4,61.8,65.18,0.05,0.31,5943.5062549999975,53.71,9.53,5.96
Los Angeles,6037601600.0,92.5,2.5,2.2,0.0,2.2,0.5,12.8,51.3,65.05,0.044000000000000004,4.76,4095.509354,68.69,11.11,6.04
Los Angeles,6037229410.0,83.6,1.0,14.4,0.1,0.4,0.5,15.7,86.6,65.0,0.046,0.0,4694.697378,63.39,9.61,5.06
Los Angeles,6037601401.0,58.9,5.1,32.4,0.3,1.9,1.4,12.7,53.7,64.99,0.046,0.0,2641.37585,86.66,11.71,8.42
Los Angeles,6037239602.0,77.1,0.7,20.6,0.4,0.1,1.0,15.9,83.1,64.92,0.046,0.0,4750.177076,95.56,13.17,5.12
Los Angeles,6037127400.0,73.2,15.3,5.0,0.1,4.8,1.5,13.7,70.2,64.88,0.057,0.0,756.1055372999997,74.19,10.44,7.36
Los Angeles,6037302302.0,34.4,44.6,1.7,0.3,16.9,2.2,11.3,48.5,64.86,0.051,0.0,2698.895003,72.69,10.53,4.71
Los Angeles,6037228800.0,88.1,0.6,9.1,0.0,1.5,0.7,9.9,74.7,64.82,0.046,0.0,5893.677164,64.0,8.99,5.89
San Bernardino,6071005500.0,73.6,7.8,14.9,0.3,1.4,2.0,29.5,82.1,64.69,0.065,0.0,884.618473,111.82,12.96,6.55
Los Angeles,6037533002.0,97.3,1.2,1.0,0.1,0.1,0.3,9.2,57.9,64.65,0.046,0.0,6047.80114,79.03,12.37,6.28
Los Angeles,6037543100.0,49.6,0.7,47.9,0.2,0.6,1.0,11.7,35.5,64.64,0.042,0.08,6899.513375,90.19,10.33,6.11
Los Angeles,6037575801.0,79.3,9.5,6.9,0.5,2.5,1.3,14.1,84.3,64.47,0.042,2.34,13488.98267,112.42,11.02,6.05
San Joaquin,6077001500.0,58.8,21.8,5.6,1.0,10.3,2.6,18.7,63.3,64.46,0.046,28.5,451.28986510000004,86.39,11.84,7.44
Los Angeles,6037532900.0,92.7,0.3,6.5,0.1,0.1,0.3,8.6,81.2,64.43,0.046,0.0,5467.886227,79.03,12.37,5.37
Kern ,6029002302.0,94.0,3.0,1.8,0.4,0.5,0.4,22.3,72.0,64.38,0.065,0.0,31.9450918,89.83,11.77,5.86
Los Angeles,6037291130.0,64.0,4.8,18.6,0.0,11.1,1.5,12.4,40.7,64.33,0.044000000000000004,0.0,6327.438375,66.08,8.71,6.35
Los Angeles,6037553701.0,93.0,3.3,2.5,0.1,0.5,0.6,10.7,61.6,64.32,0.044000000000000004,0.0,7295.728959,61.93,11.54,5.22
Los Angeles,6037535101.0,82.7,0.5,16.2,0.1,0.1,0.5,19.2,64.8,64.3,0.046,0.0,5562.436586,73.75,11.5,6.72
Fresno ,6019002601.0,84.8,4.4,2.3,0.4,7.0,1.0,15.7,75.4,64.22,0.065,0.0,2829.660432,119.15,17.02,6.9
San Bernardino,6071001309.0,78.5,11.2,5.8,0.1,3.1,1.4,21.0,51.1,64.22,0.062,0.53,5334.795409,79.43,12.34,6.18
Stanislaus ,6099001800.0,32.7,53.8,5.6,1.5,3.0,3.4,26.2,62.8,64.21,0.053,16.22,810.1911859,86.67,12.48,4.73
Los Angeles,6037535200.0,80.6,0.6,17.9,0.2,0.2,0.5,15.5,74.7,64.19,0.044000000000000004,0.0,5478.913346,88.42,12.7,7.62
Los Angeles,6037203300.0,68.8,8.9,11.0,0.1,10.4,0.8,4.3,56.6,64.17,0.046,0.0,6340.513468,96.21,10.36,4.88
Los Angeles,6037404703.0,88.6,2.7,0.8,0.2,7.3,0.4,13.2,63.5,64.09,0.051,5.34,9320.167583,57.41,9.82,4.56
Los Angeles,6037242200.0,71.9,0.7,25.8,0.2,0.3,1.0,13.5,70.0,64.03,0.044000000000000004,0.0,5736.0771049999985,88.42,12.7,5.93
Los Angeles,6037535603.0,96.1,2.1,1.0,0.0,0.7,0.1,12.8,49.5,64.01,0.044000000000000004,0.0,6191.008127,46.23,11.83,8.04
Fresno ,6019001700.0,57.7,26.2,1.8,0.6,12.3,1.5,13.7,48.9,63.99,0.065,2273.75,2490.1142449999998,79.97,10.73,5.95
